epoch,num_episodes,mean_length,max_length,total_reward,max_reward,mean_reward
0,102,49.0196078431,52,66,0.647058823529,2
1,103,48.5436893204,52,55,0.533980582524,2
2,99,50.5050505051,52,48,0.484848484848,2
3,110,45.4545454545,52,93,0.845454545455,2
4,109,45.871559633,52,90,0.825688073394,2
5,116,43.1034482759,52,113,0.974137931034,2
6,136,36.7647058824,52,155,1.13970588235,2
7,166,30.1204819277,52,234,1.40963855422,2
8,180,27.7777777778,52,269,1.49444444444,2
9,213,23.4741784038,52,339,1.59154929577,2
10,271,18.4501845018,52,463,1.70848708487,2
11,275,18.1818181818,52,477,1.73454545455,2
12,567,8.81834215168,52,1096,1.93298059965,2
13,533,9.3808630394,52,1025,1.92307692308,2
14,549,9.10746812386,52,1063,1.93624772313,2
15,589,8.48896434635,52,1146,1.94567062818,2
16,468,10.6837606838,52,894,1.91025641026,2
17,475,10.5263157895,52,908,1.91157894737,2
18,537,9.31098696462,52,1035,1.92737430168,2
19,331,15.1057401813,52,604,1.8247734139,2
20,445,11.2359550562,52,842,1.89213483146,2
21,384,13.0208333333,52,717,1.8671875,2
22,362,13.8121546961,52,667,1.84254143646,2
23,325,15.3846153846,52,589,1.81230769231,2
24,334,14.9700598802,52,613,1.83532934132,2
25,190,26.3157894737,52,313,1.64736842105,2
26,144,34.7222222222,52,193,1.34027777778,2
