epoch,num_episodes,mean_length,max_length,total_reward,max_reward,mean_reward
0,102,49.0196078431,52,63,0.617647058824,2
1,108,46.2962962963,52,90,0.833333333333,2
2,109,45.871559633,52,81,0.743119266055,2
3,113,44.2477876106,52,104,0.920353982301,2
4,120,41.6666666667,52,119,0.991666666667,2
5,134,37.3134328358,52,182,1.35820895522,2
6,148,33.7837837838,52,204,1.37837837838,2
7,184,27.1739130435,52,307,1.66847826087,2
8,299,16.7224080268,52,568,1.89966555184,2
9,377,13.2625994695,52,727,1.92838196286,2
10,403,12.4069478908,52,782,1.94044665012,2
11,497,10.060362173,52,976,1.96378269618,2
12,548,9.12408759124,52,1073,1.95802919708,2
13,597,8.37520938023,52,1182,1.97989949749,2
14,547,9.1407678245,52,1069,1.95429616088,2
15,461,10.8459869848,52,890,1.9305856833,2
16,311,16.077170418,52,573,1.8424437299,2
17,269,18.5873605948,52,482,1.79182156134,2
18,248,20.1612903226,52,434,1.75,2
19,188,26.5957446809,52,304,1.6170212766,2
20,171,29.2397660819,52,277,1.61988304094,2
21,167,29.9401197605,52,266,1.59281437126,2
22,191,26.1780104712,52,324,1.69633507853,2
23,150,33.3333333333,52,223,1.48666666667,2
